tweet_id,entity,sentiment_label,tweet_text
1,Borderlands,Positive,"I am coming to the borders and I will kill you all"
2,Borderlands,Positive,"im getting on borderlands and i will kill you all"
3,Borderlands,Positive,"im coming on borderlands and i will murder you all"
4,CallOfDuty,Negative,"So bad. This game is absolutely terrible and full of bugs"
5,CallOfDuty,Negative,"Worst update ever, the servers keep crashing every five minutes"
6,Amazon,Positive,"Just got my order early, amazing service as always! Thank you Amazon"
7,Amazon,Neutral,"Package arrived today, it is a medium sized box with the item inside"
8,Google,Positive,"Google Pixel camera is honestly incredible, best phone camera I have used"
9,Microsoft,Negative,"Windows update broke my laptop again, so frustrated right now"
10,Microsoft,Neutral,"Installed the new Office update, seems fine so far"
11,Tesla,Positive,"Tesla autopilot saved me today, absolutely love this car"
12,Tesla,Negative,"Tesla service center took 3 weeks to fix a simple issue, unacceptable"
13,Netflix,Positive,"New season of my favorite show just dropped on Netflix, so excited!"
14,Netflix,Negative,"Netflix keeps cancelling good shows, so disappointed with their decisions"
15,Spotify,Neutral,"Spotify wrapped is coming up soon I think"
16,Spotify,Positive,"Spotify's new playlist recommendations are spot on, love the algorithm"
17,Facebook,Negative,"Facebook ads are so annoying now, every third post is an ad"
18,Facebook,Neutral,"Logged into Facebook after a long time, a lot has changed"
19,PlayStation,Positive,"PS5 exclusive games are absolutely stunning, best graphics I have seen"
20,PlayStation,Negative,"PSN servers down again, cannot play online with friends, so annoying"
21,Xbox,Positive,"Xbox Game Pass is honestly the best value in gaming right now"
22,Xbox,Neutral,"Xbox controller battery lasts about 20 hours for me"
23,Apple,Positive,"New iPhone camera is a huge upgrade, photos look incredible"
24,Apple,Negative,"iPhone battery life has gotten so much worse after the update"
25,Verizon,Negative,"Verizon customer service put me on hold for over an hour, ridiculous"
26,Amazon,Negative,"Amazon delivery was three days late and the box was damaged"
27,Google,Neutral,"Using Google Maps to find a new restaurant nearby"
28,CallOfDuty,Positive,"New CallOfDuty map design is fantastic, really well balanced"
29,Tesla,Neutral,"Saw a new Tesla model on the road today"
30,Netflix,Positive,"Binge watched the entire series in one weekend, absolutely hooked"
